;------ BEGIN SPRITE --------
db 5 ; ancho
db 24 ; alto
db 0 , 0 , 0 , 0 , 0  
db 0 , 0 , 0 , 0 , 0  
db 0 , 0 , 3 , 80 , 0  
db 0 , 1 , 83 , 82 , 0  
db 0 , 1 , 163 , 82 , 0  
db 0 , 1 , 3 , 82 , 0  
db 0 , 1 , 3 , 82 , 0  
db 0 , 80 , 3 , 240 , 0  
db 0 , 19 , 240 , 114 , 0  
db 0 , 35 , 51 , 57 , 0  
db 0 , 19 , 3 , 57 , 0  
db 0 , 1 , 54 , 51 , 0  
db 0 , 17 , 57 , 57 , 0  
db 0 , 1 , 60 , 34 , 0  
db 0 , 17 , 57 , 2 , 0  
db 0 , 0 , 35 , 2 , 0  
db 0 , 17 , 114 , 160 , 0  
db 0 , 80 , 160 , 0 , 0  
db 0 , 80 , 160 , 0 , 0  
db 0 , 80 , 160 , 0 , 0  
db 0 , 80 , 160 , 0 , 0  
db 0 , 0 , 0 , 0 , 0  
db 0 , 0 , 0 , 0 , 0  
db 0 , 0 , 0 , 0 , 0  
;------ END SPRITE --------
